Symbol,Full Name,GICS Sector,GICS Sub-Industry,environmentScore,socialScore,governanceScore,totalEsg,highestControversy,percentile,ratingYear,ratingMonth,marketCap,beta,overallRisk
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",0.11,5.05,6.09,11.26,2.0,3.95,2023.0,9.0,33170137088,1.083,1
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,13.31,10.68,6.0,30.0,3.0,68.87,2023.0,9.0,17838264320,0.248,8
HSIC,Henry Schein,Health Care,Health Care Distributors,2.0,5.67,6.28,13.95,2.0,8.64,2023.0,9.0,9026677760,0.861,5
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,3.25,4.58,5.52,13.35,1.0,7.41,2023.0,9.0,24961603584,1.341,9
HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,10.52,10.4,5.14,26.05,3.0,53.34,2023.0,9.0,40621432832,0.361,10
HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,5.6,9.09,4.91,19.6,0.0,26.55,2023.0,9.0,22078416896,0.898,3
HUM,Humana,Health Care,Managed Health Care,0.01,16.71,5.74,22.47,2.0,37.9,2023.0,9.0,37954166784,0.509,1
IBM,IBM,Information Technology,IT Consulting & Other Services,1.78,6.22,6.14,14.14,2.0,9.09,2023.0,9.0,197245435904,0.693,4
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,1.7,9.25,8.82,19.78,1.0,27.21,2023.0,9.0,93476061184,1.091,4
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2.62,7.1,8.94,18.66,1.0,22.9,2023.0,9.0,42162847744,1.332,6
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,10.28,13.72,5.34,29.34,0.0,66.38,2023.0,9.0,15495729152,0.949,6
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,10.49,5.57,6.63,22.69,3.0,38.82,2023.0,9.0,26644783104,1.233,4
INCY,Incyte,Health Care,Biotechnology,1.06,16.3,7.41,24.76,1.0,47.91,2023.0,9.0,12794285056,0.735,7
INTC,Intel,Information Technology,Semiconductors,4.93,7.32,6.62,18.87,3.0,23.69,2023.0,9.0,91805720576,1.02,5
INTU,Intuit,Information Technology,Application Software,0.97,10.7,4.73,16.41,2.0,15.32,2023.0,9.0,181138964480,1.243,2
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,15.15,4.5,4.81,24.47,3.0,46.67,2023.0,9.0,17309921280,1.01,5
IPG,Interpublic Group of Companies (The),Communication Services,Advertising,0.04,5.0,5.28,10.32,1.0,2.98,2023.0,9.0,11729707008,1.084,10
IQV,IQVIA,Health Care,Life Sciences Tools & Services,1.3,10.62,7.22,19.14,2.0,24.78,2023.0,9.0,43748352000,1.498,8
IRM,Iron Mountain,Real Estate,Other Specialized REITs,5.0,3.74,5.76,14.5,2.0,10.01,2023.0,9.0,34669355008,1.026,5
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,3.65,9.58,7.84,21.07,1.0,32.14,2023.0,9.0,174617722880,1.395,3
IT,Gartner,Information Technology,IT Consulting & Other Services,0.11,13.17,5.64,18.93,1.0,23.89,2023.0,9.0,39306534912,1.323,1
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,7.0,11.78,6.52,25.29,2.0,50.21,2023.0,9.0,75748122624,1.112,3
IVZ,Invesco,Financials,Asset Management & Custody Banks,0.73,11.02,11.04,22.79,2.0,39.19,2023.0,9.0,7470531584,1.423,3
J,Jacobs Solutions,Industrials,Construction & Engineering,5.29,11.46,5.62,22.37,3.0,33.64,2022.0,8.0,18008506368,0.721,7
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,3.28,6.55,5.0,14.82,1.0,10.74,2023.0,9.0,17132796928,1.153,8
JCI,Johnson Controls,Industrials,Building Products,4.49,4.55,5.39,14.43,3.0,9.85,2023.0,9.0,48678182912,1.3,6
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,4.32,8.66,5.68,18.66,0.0,22.88,2023.0,9.0,12909138944,0.638,7
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,0.92,15.02,8.03,23.98,4.0,44.52,2023.0,9.0,402177589248,0.519,4
JNPR,Juniper Networks,Information Technology,Communications Equipment,1.82,7.2,5.8,14.82,1.0,10.73,2023.0,9.0,12847232000,0.921,5
JPM,JPMorgan Chase,Financials,Diversified Banks,1.11,16.45,11.7,29.26,3.0,66.02,2023.0,9.0,595349733376,1.105,5
K,Kellanova,Consumer Staples,Packaged Foods & Meats,10.64,13.35,4.38,28.37,2.0,62.52,2023.0,9.0,27749677056,0.394,8
KEY,KeyCorp,Financials,Regional Banks,1.59,9.16,10.66,21.42,1.0,33.6,2023.0,9.0,15378881536,1.238,4
KEYS,Keysight,Information Technology,Electronic Equipment & Instruments,1.2,1.75,4.65,7.6,1.0,1.47,2023.0,9.0,26116489216,0.974,4
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,13.49,14.05,6.17,33.7,3.0,80.3,2023.0,9.0,42366164992,0.478,4
KIM,Kimco Realty,Real Estate,Retail REITs,2.35,2.58,5.97,10.9,0.0,3.52,2023.0,9.0,16219149312,1.492,5
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,7.41,5.13,4.64,17.19,0.0,17.74,2023.0,9.0,99420717056,1.276,4
KMB,Kimberly-Clark,Consumer Staples,Household Products,10.43,10.4,7.64,28.48,2.0,63.05,2023.0,9.0,48567140352,0.403,4
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,8.28,7.19,3.49,18.96,2.0,24.03,2023.0,9.0,47851556864,0.921,9
KMX,CarMax,Consumer Discretionary,Automotive Retail,0.09,8.02,3.99,12.1,2.0,5.17,2023.0,9.0,12391112704,1.688,9
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,7.23,9.54,4.86,21.63,3.0,34.51,2023.0,9.0,309448671232,0.609,2
KR,Kroger,Consumer Staples,Food Retail,6.55,9.12,5.6,21.27,3.0,32.98,2023.0,9.0,40625352704,0.46,8
L,Loews Corporation,Financials,Multi-line Insurance,0.59,4.25,11.53,16.38,2.0,15.19,2023.0,9.0,17404710912,0.818,7
LDOS,Leidos,Industrials,Diversified Support Services,3.37,9.03,5.25,17.65,2.0,19.29,2023.0,9.0,20855037952,0.704,3
LEN,Lennar,Consumer Discretionary,Homebuilding,11.26,8.55,5.55,25.36,2.0,50.5,2023.0,9.0,50908487680,1.609,10
LH,LabCorp,Health Care,Health Care Services,0.43,12.71,6.6,19.74,2.0,27.05,2023.0,9.0,19060506624,1.041,4
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,3.8,4.0,3.27,11.07,2.0,3.74,2023.0,9.0,10751375360,1.283,3
LLY,Lilly (Eli),Health Care,Pharmaceuticals,2.54,12.6,9.14,24.28,2.0,45.9,2023.0,9.0,815948038144,0.422,5
LMT,Lockheed Martin,Industrials,Aerospace & Defense,7.96,15.11,7.11,30.18,3.0,69.64,2023.0,9.0,136559820800,0.469,6
LNT,Alliant Energy,Utilities,Electric Utilities,8.54,6.55,6.28,21.36,0.0,33.39,2023.0,9.0,15520779264,0.57,2
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,3.31,5.31,3.17,11.78,2.0,4.69,2023.0,9.0,145635721216,1.09,4
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,4.5,3.97,5.14,13.61,1.0,7.91,2023.0,9.0,99490209792,1.483,1
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1.58,9.86,5.5,16.94,2.0,16.93,2023.0,9.0,32572626944,1.253,8
LUV,Southwest Airlines,Industrials,Passenger Airlines,11.04,13.69,5.95,30.67,2.0,71.33,2023.0,9.0,17099948032,1.162,6
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,2.3,7.72,8.67,18.69,2.0,22.99,2023.0,9.0,30488285184,1.113,10
LYB,LyondellBasell,Materials,Specialty Chemicals,13.5,2.1,5.09,20.69,2.0,30.53,2023.0,9.0,30880202752,1.082,1
MA,Mastercard,Financials,Transaction & Payment Processing Services,2.15,6.66,8.27,17.07,4.0,17.41,2023.0,9.0,462832107520,1.103,1
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,3.9,2.95,6.25,13.09,1.0,6.87,2023.0,9.0,19992911872,0.873,5
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",8.55,9.16,3.72,21.43,3.0,33.65,2023.0,9.0,66329636864,1.591,7
MAS,Masco,Industrials,Building Products,9.73,5.64,6.82,22.19,1.0,36.81,2023.0,9.0,17732730880,1.247,8
MCD,McDonald's,Consumer Discretionary,Restaurants,7.56,12.56,5.84,25.95,3.0,52.97,2023.0,9.0,210719506432,0.724,6
MCHP,Microchip Technology,Information Technology,Semiconductors,15.25,9.16,7.4,31.82,1.0,75.0,2023.0,9.0,41310883840,1.519,6
MCK,McKesson Corporation,Health Care,Health Care Distributors,1.65,7.28,6.29,15.23,3.0,11.87,2023.0,9.0,67408543744,0.441,3
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,1.61,6.09,8.12,15.82,2.0,13.52,2023.0,9.0,88281661440,1.29,3
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,7.23,9.39,5.41,22.02,3.0,36.13,2023.0,9.0,100893089792,0.548,5
MDT,Medtronic,Health Care,Health Care Equipment,1.78,13.43,7.57,22.77,3.0,39.15,2023.0,9.0,113676828672,0.854,6
MET,MetLife,Financials,Life & Health Insurance,0.69,6.96,8.77,16.43,2.0,15.34,2023.0,9.0,54821441536,1.029,4
META,Meta Platforms,Communication Services,Interactive Media & Services,2.71,21.09,10.29,34.08,4.0,81.17,2023.0,9.0,1356780404736,1.213,10
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,1.3,12.97,10.49,24.76,2.0,47.92,2023.0,9.0,11303280640,2.236,1
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,5.75,4.19,4.19,14.14,2.0,9.08,2023.0,9.0,9834908672,1.375,1
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,9.63,11.09,5.35,26.07,2.0,53.45,2023.0,9.0,22768777216,0.758,10
MLM,Martin Marietta Materials,Materials,Construction Materials,16.68,4.77,8.67,30.12,2.0,69.4,2023.0,9.0,32638973952,0.908,8
MMC,Marsh McLennan,Financials,Insurance Brokers,0.09,11.31,9.67,21.07,2.0,32.16,2023.0,9.0,113679212544,0.937,1
MMM,3M,Industrials,Industrial Conglomerates,17.22,13.59,6.54,37.35,5.0,88.51,2023.0,9.0,73377218560,0.995,9
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,12.07,12.04,5.11,29.23,2.0,65.85,2023.0,9.0,50022043648,0.737,9
MO,Altria,Consumer Staples,Tobacco,6.1,17.64,7.58,31.32,3.0,73.6,2023.0,9.0,86164111360,0.687,2
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,13.87,11.05,8.6,33.52,2.0,79.8,2023.0,9.0,8173065216,1.363,3
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,17.09,8.15,5.25,30.49,3.0,70.7,2023.0,9.0,54844665856,1.364,6
MRK,Merck & Co.,Health Care,Pharmaceuticals,1.85,10.64,8.9,21.39,3.0,33.51,2023.0,9.0,299842699264,0.401,4
MRO,Marathon Oil,Energy,Oil & Gas Exploration & Production,21.07,9.05,7.6,37.72,2.0,89.03,2023.0,9.0,15304718336,2.169,5
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,1.14,12.91,10.53,24.58,2.0,47.11,2023.0,9.0,161931493376,1.357,9
MSCI,MSCI,Financials,Financial Exchanges & Data,1.57,6.97,7.74,16.27,1.0,14.86,2023.0,9.0,44539666432,1.111,4
MSFT,Microsoft,Information Technology,Systems Software,1.46,7.53,6.07,15.06,3.0,11.36,2023.0,9.0,3234487336960,0.896,1
MSI,Motorola Solutions,Information Technology,Communications Equipment,2.26,5.07,5.8,13.13,1.0,6.98,2023.0,9.0,73940533248,0.977,2
MTB,M&T Bank,Financials,Regional Banks,2.63,10.32,13.58,26.53,1.0,55.08,2023.0,9.0,29028114432,0.744,8
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,1.0,7.41,4.69,13.1,0.0,6.93,2023.0,9.0,29563645952,1.139,5
MU,Micron Technology,Information Technology,Semiconductors,7.23,5.46,5.49,18.18,2.0,21.15,2023.0,9.0,98387369984,1.176,1
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",8.97,10.9,6.08,25.94,2.0,52.93,2023.0,9.0,8688294912,2.712,5
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,0.03,5.63,7.43,13.09,1.0,6.89,2023.0,9.0,42128486400,0.962,3
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,8.18,11.61,5.1,24.89,1.0,48.54,2023.0,9.0,14591575040,0.902,8
NEE,NextEra Energy,Utilities,Multi-Utilities,9.38,8.3,5.6,23.27,2.0,41.38,2023.0,9.0,174643085312,0.551,4
NEM,Newmont,Materials,Gold,7.05,8.24,5.22,20.52,3.0,29.93,2023.0,9.0,60940009472,0.513,6
NFLX,Netflix,Communication Services,Movies & Entertainment,0.09,7.31,9.01,16.41,2.0,15.33,2023.0,9.0,303381020672,1.262,9
NI,NiSource,Utilities,Multi-Utilities,11.98,9.17,4.87,26.02,3.0,53.23,2023.0,9.0,15419760640,0.504,2
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2.98,9.99,6.65,19.61,3.0,26.58,2023.0,9.0,120908390400,1.014,9
NOC,Northrop Grumman,Industrials,Aerospace & Defense,7.79,14.37,5.37,27.53,2.0,59.19,2023.0,9.0,76233113600,0.337,4
NOW,ServiceNow,Information Technology,Systems Software,3.99,6.04,6.57,16.59,0.0,15.89,2023.0,9.0,183719378944,0.987,5
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,16.8,9.5,5.69,31.97,2.0,75.48,2023.0,9.0,16782821376,1.085,9
NSC,Norfolk Southern Railway,Industrials,Rail Transportation,8.02,10.48,5.42,23.92,3.0,44.15,2023.0,9.0,55861764096,1.307,10
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2.19,7.74,5.5,15.43,1.0,12.46,2023.0,9.0,24377368576,1.219,2
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,1.87,11.83,10.17,23.86,2.0,43.85,2023.0,9.0,18278486016,1.096,5
NUE,Nucor,Materials,Steel,9.3,14.72,8.8,32.82,2.0,77.92,2023.0,9.0,33929832448,1.563,7
NVDA,Nvidia,Information Technology,Semiconductors,2.3,4.95,6.34,13.59,2.0,7.86,2023.0,9.0,2835422642176,1.673,8
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,7.21,7.82,5.24,20.27,1.0,28.96,2023.0,9.0,29192695808,1.187,9
NWSA,News Corp (Class A),Communication Services,Publishing,0.02,4.74,6.72,11.47,2.0,4.24,2023.0,9.0,15057525760,1.358,10
NXPI,NXP Semiconductors,Information Technology,Semiconductors,8.58,5.45,5.81,19.84,1.0,27.41,2023.0,9.0,59243253760,1.497,2
O,Realty Income,Real Estate,Retail REITs,4.41,5.32,5.74,15.47,2.0,12.57,2023.0,9.0,54585954304,0.992,5
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,10.83,11.01,3.31,25.15,1.0,49.57,2023.0,9.0,55288446976,1.634,5
OMC,Omnicom Group,Communication Services,Advertising,0.09,9.33,6.86,16.28,1.0,14.89,2023.0,9.0,19903373312,0.964,1
ON,ON Semiconductor,Information Technology,Semiconductors,11.79,5.69,4.95,22.43,1.0,37.75,2023.0,9.0,30593183744,1.656,2
ORCL,Oracle Corporation,Information Technology,Application Software,0.5,7.79,5.6,13.89,2.0,8.51,2023.0,9.0,464054353920,1.0,10
ORLY,O'Reilly Auto Parts,Consumer Discretionary,Automotive Retail,0.14,8.15,3.76,12.05,1.0,5.1,2023.0,9.0,65588211712,0.924,9
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,24.98,9.7,6.97,41.66,2.0,93.23,2023.0,9.0,47697215488,1.605,2
PANW,Palo Alto Networks,Information Technology,Systems Software,0.7,7.62,5.6,13.92,1.0,8.57,2023.0,9.0,112693567488,1.132,10
PARA,Paramount Global,Communication Services,Movies & Entertainment,0.11,7.51,7.37,14.99,3.0,11.14,2023.0,9.0,7424509952,1.77,10
PAYX,Paychex,Industrials,Human Resource & Employment Services,3.21,7.16,6.36,16.73,1.0,16.37,2023.0,9.0,48633491456,0.993,4
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,8.36,10.99,8.3,27.64,3.0,59.68,2023.0,9.0,51368513536,0.901,5
PCG,PG&E Corporation,Utilities,Multi-Utilities,9.58,15.38,5.42,30.38,4.0,70.35,2023.0,9.0,52330303488,1.017,4
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,12.48,9.28,5.46,27.23,2.0,57.89,2023.0,9.0,42229178368,0.623,3
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,7.27,9.63,5.16,22.06,3.0,36.32,2023.0,9.0,242943328256,0.541,5
PFE,Pfizer,Health Care,Pharmaceuticals,2.12,12.85,9.63,24.59,3.0,47.15,2023.0,9.0,169037660160,0.617,7
PFG,Principal Financial Group,Financials,Life & Health Insurance,0.81,5.82,7.56,14.19,1.0,9.21,2023.0,9.0,19411369984,1.192,7
PG,Procter & Gamble,Consumer Staples,Personal Care Products,9.6,12.23,6.74,28.57,3.0,63.39,2023.0,9.0,413267034112,0.407,4
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,1.45,8.5,10.07,20.02,2.0,28.02,2023.0,9.0,150497378304,0.353,3
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,9.46,13.78,6.24,29.48,2.0,66.96,2023.0,9.0,77822435328,1.431,6
PHM,PulteGroup,Consumer Discretionary,Homebuilding,9.19,7.31,4.92,21.42,2.0,33.61,2023.0,9.0,29148821504,1.627,5
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,13.96,1.06,3.62,18.64,1.0,22.83,2023.0,9.0,19272724480,0.786,6
PLD,Prologis,Real Estate,Industrial REITs,2.74,2.5,5.03,10.27,1.0,2.96,2023.0,9.0,119701798912,1.083,8
PM,Philip Morris International,Consumer Staples,Tobacco,3.42,13.54,11.49,28.45,3.0,62.86,2023.0,9.0,191598002176,0.578,5
PNC,PNC Financial Services,Financials,Regional Banks,1.94,13.29,10.83,26.07,3.0,53.42,2023.0,9.0,72141553664,1.128,2
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,5.97,10.01,6.07,22.06,1.0,36.3,2023.0,9.0,15541917696,1.191,5
PNW,Pinnacle West,Utilities,Multi-Utilities,14.72,10.23,5.84,30.79,1.0,71.78,2023.0,9.0,10374980608,0.516,5
PPG,PPG Industries,Materials,Specialty Chemicals,10.98,7.7,6.54,25.21,2.0,49.85,2023.0,9.0,29736417280,1.25,6
PPL,PPL Corporation,Utilities,Electric Utilities,17.08,8.9,5.33,31.32,2.0,73.57,2023.0,9.0,24110428160,0.835,2
PRU,Prudential Financial,Financials,Life & Health Insurance,0.64,10.01,9.25,19.91,1.0,27.67,2023.0,9.0,42368761856,1.286,4
PSA,Public Storage,Real Estate,Self-Storage REITs,4.74,2.61,5.7,13.05,1.0,6.78,2023.0,9.0,63529824256,0.67,6
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,20.76,8.82,5.85,35.43,3.0,84.49,2023.0,9.0,53702402048,1.322,7
PTC,PTC,Information Technology,Application Software,4.92,8.61,5.37,18.9,0.0,23.78,2023.0,9.0,21107718144,1.177,5
PWR,Quanta Services,Industrials,Construction & Engineering,12.15,15.73,9.04,36.91,2.0,87.83,2023.0,9.0,40356634624,1.009,4
PYPL,PayPal,Financials,Transaction & Payment Processing Services,2.83,9.19,5.75,17.77,2.0,19.71,2023.0,9.0,73372622848,1.438,8
QCOM,Qualcomm,Information Technology,Semiconductors,5.34,4.5,5.55,15.39,3.0,12.29,2023.0,9.0,187931803648,1.284,2
QRVO,Qorvo,Information Technology,Semiconductors,12.32,8.5,7.7,28.52,0.0,63.22,2023.0,9.0,9529769984,1.457,7
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",8.15,7.68,4.88,20.71,3.0,30.6,2023.0,9.0,43694575616,2.621,9
REG,Regency Centers,Real Estate,Retail REITs,3.72,3.21,4.77,11.71,0.0,4.62,2023.0,9.0,13652682752,1.218,1
REGN,Regeneron,Health Care,Biotechnology,0.34,10.96,6.74,18.04,2.0,20.59,2023.0,9.0,127109210112,0.122,10
RF,Regions Financial Corporation,Financials,Regional Banks,1.82,6.67,8.36,16.85,2.0,16.67,2023.0,9.0,20617766912,1.188,7
RJF,Raymond James,Financials,Investment Banking & Brokerage,2.35,11.23,13.44,27.02,2.0,56.98,2023.0,9.0,24853202944,1.03,7
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1.22,7.79,5.62,14.62,2.0,10.27,2023.0,9.0,11238284288,1.502,10
RMD,ResMed,Health Care,Health Care Equipment,3.54,12.41,10.43,26.39,1.0,54.57,2023.0,9.0,36993007616,0.691,4
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,5.37,6.64,5.65,17.67,2.0,19.34,2023.0,9.0,29864515584,1.363,9
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,1.76,10.63,6.92,19.31,1.0,25.54,2023.0,9.0,24893739008,0.697,9
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,4.67,9.67,6.09,20.44,0.0,29.61,2023.0,9.0,59662757888,1.022,8
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,1.79,10.76,5.68,18.23,2.0,21.36,2023.0,9.0,50816126976,1.092,7
RSG,Republic Services,Industrials,Environmental & Facilities Services,11.19,6.02,3.7,20.91,3.0,31.4,2023.0,9.0,64497053696,0.707,1
RVTY,Revvity,Health Care,Health Care Equipment,0.75,10.1,5.85,16.7,2.0,16.28,2023.0,9.0,15145726976,1.046,8
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,3.11,3.23,5.23,11.58,0.0,4.42,2023.0,9.0,26340440064,0.664,7
SBUX,Starbucks,Consumer Discretionary,Restaurants,5.79,14.62,4.27,24.67,3.0,47.54,2023.0,9.0,109285810176,0.96,1
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,2.39,8.95,11.94,23.28,2.0,41.39,2023.0,9.0,116510556160,0.964,10
SHW,Sherwin-Williams,Materials,Specialty Chemicals,14.31,9.2,5.85,29.35,2.0,66.41,2023.0,9.0,95620767744,1.168,8
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,12.89,11.99,5.57,30.45,2.0,70.6,2023.0,9.0,12862360576,0.232,7
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,8.08,6.29,5.91,20.28,1.0,29.0,2023.0,9.0,58923360256,1.528,1
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,9.0,13.91,7.62,30.53,2.0,70.84,2023.0,9.0,14827014144,0.974,5
SNPS,Synopsys,Information Technology,Application Software,3.34,6.93,4.16,14.42,0.0,9.81,2023.0,9.0,77152632832,1.078,3
SO,Southern Company,Utilities,Electric Utilities,14.68,11.0,7.3,32.98,2.0,78.44,2023.0,9.0,98390876160,0.509,1
SPG,Simon Property Group,Real Estate,Retail REITs,3.83,3.99,6.15,13.98,1.0,8.73,2023.0,9.0,61818773504,1.769,10
SPGI,S&P Global,Financials,Financial Exchanges & Data,0.0,6.22,6.82,13.04,1.0,6.76,2023.0,9.0,165069996032,1.177,3
SRE,Sempra,Utilities,Multi-Utilities,10.86,7.85,4.88,23.59,2.0,42.73,2023.0,9.0,53152604160,0.759,7
STLD,Steel Dynamics,Materials,Steel,10.56,14.36,8.06,32.98,1.0,78.41,2023.0,9.0,17666150400,1.327,2
STT,State Street Corporation,Financials,Asset Management & Custody Banks,1.61,12.95,9.52,24.08,1.0,45.05,2023.0,9.0,25887369216,1.495,5
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",1.59,3.8,5.26,10.66,1.0,2.13,2021.0,5.0,21484713984,1.058,6
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,9.45,10.04,5.18,24.66,2.0,47.5,2023.0,9.0,46082215936,0.873,8
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,5.0,12.51,7.8,25.31,2.0,50.29,2023.0,9.0,15857777664,1.236,4
SWKS,Skyworks Solutions,Information Technology,Semiconductors,11.82,8.93,7.21,27.95,1.0,60.89,2023.0,9.0,15532438528,1.204,9
SYF,Synchrony Financial,Financials,Consumer Finance,0.13,9.89,7.25,17.28,2.0,18.01,2023.0,9.0,19441215488,1.612,8
SYK,Stryker Corporation,Health Care,Health Care Equipment,3.99,13.24,11.03,28.26,2.0,62.09,2023.0,9.0,141744701440,0.919,5
SYY,Sysco,Consumer Staples,Food Distributors,5.42,6.05,4.47,15.95,2.0,13.88,2023.0,9.0,38230503424,1.198,6
T,AT&T,Communication Services,Integrated Telecommunication Services,3.26,13.94,6.72,23.91,3.0,44.13,2023.0,9.0,156167831552,0.733,1
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,7.25,8.61,5.51,21.37,2.0,33.42,2023.0,9.0,11506942976,0.814,10
TDG,TransDigm Group,Industrials,Aerospace & Defense,12.01,17.71,9.0,38.72,2.0,90.45,2023.0,9.0,77178421248,1.41,10
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,5.81,4.44,4.55,14.8,0.0,10.69,2023.0,9.0,44913152000,1.325,5
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,7.11,4.89,5.03,17.03,0.0,17.27,2023.0,9.0,21165559808,1.492,1
TFX,Teleflex,Health Care,Health Care Equipment,4.83,16.12,8.67,29.63,2.0,67.48,2023.0,9.0,11376049152,1.156,6
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,1.93,7.55,4.86,14.35,3.0,9.65,2023.0,9.0,70409453568,1.238,2
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,1.89,7.65,4.84,14.38,2.0,9.73,2023.0,9.0,134904406016,0.889,7
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,1.44,4.89,6.47,12.81,3.0,6.31,2023.0,9.0,234602758144,0.778,3
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,4.19,13.38,7.07,24.63,3.0,47.33,2023.0,9.0,240183296000,0.507,10
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1.1,8.57,5.18,14.84,2.0,10.81,2023.0,9.0,9963964416,1.552,6
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,14.23,14.75,4.24,33.21,2.0,79.06,2023.0,9.0,33304543232,2.252,8
TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,3.76,3.43,5.23,12.41,0.0,5.64,2023.0,9.0,14239768576,1.484,2
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,2.39,8.95,5.57,16.91,1.0,16.89,2023.0,9.0,24022775808,1.427,6
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,1.01,9.3,10.02,20.33,1.0,29.15,2023.0,9.0,55218700288,0.629,9
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,3.43,8.19,4.47,16.1,2.0,14.33,2023.0,9.0,29852745728,0.799,1
